a|7|BLUE |  1|01| 1000000
a|7|BLUE |  1|02| 2
a|7|BLUE |  1|03| 3000
a|7|BLUE |  1|04| 4000000
a|7|BLUE | 10|05| 5
a|7|BLUE | 10|06| 6000
a|7|BLUE | 10|07| 7000000
a|7|BLUE |100|08| 8
a|7|BLUE |100|09| 9000
a|7|GREEN|  1|10|10000000
a|7|GREEN|100|11|11
a|7|GREEN|100|12|12000
a|7|GREEN|100|13|13000000
a|7|GREEN|100|14|14
a|7|RED  |  1|15|15000
a|7|RED  |  1|16|16000000
a|7|RED  |  1|17|17
a|7|RED  |100|18|18000
a|7|RED  |100|19|19000000
a|8|BLUE |  1|20|20
a|8|RED  |100|21|21000
a|8|RED  |100|22|22000000
a|8|RED  |100|23|23
a|9|BLUE |  1|24|24000
a|9|BLUE |  1|25|25000000
a|9|RED  |100|26|26
b|9|BLUE |100|30|30000
b|9|BLUE |100|31|31000000
c|7|BLUE |  1|32|32
c|10|BLUE | 1|35|35
